Thu Apr  2 17:07:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   32C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation returns: -85.95649446999138
Evaluation returns: -88.29832014412719
Evaluation returns: -91.86913354053831
Evaluation returns: -94.58381533278589
Evaluation returns: -96.34758150610183
Evaluation returns: -97.75444431369608
Evaluation returns: -99.97406335704878
Evaluation returns: -111.4407517630325
Evaluation returns: -113.61429213302492
Evaluation returns: -115.29686381529373
Evaluation returns: -111.87950449798375
Evaluation returns: -111.87913730145581
Evaluation returns: -110.03468492201887
Evaluation returns: -109.64024828207887
Evaluation returns: -108.85116377722042
Evaluation returns: -107.4038018853283
Evaluation returns: -107.56377766435041
Evaluation returns: -106.53999486129071
Evaluation returns: -107.14291133627253
Evaluation returns: -106.33066996166824
Evaluation returns: -104.3471075652748
Evaluation returns: -106.92715330075134
Evaluation returns: -105.71095536683372
Evaluation returns: -104.34452024890216
Evaluation returns: -103.60026099061243
Evaluation returns: -100.16728290643954
Evaluation returns: -98.25045875374647
Evaluation returns: -97.59260332203436
Evaluation returns: -93.94597269305396
Evaluation returns: -94.46002593948498
Evaluation returns: -98.21435535227553
Evaluation returns: -96.42740177525467
Evaluation returns: -96.73730425094267
Evaluation returns: -101.38632586588983
Evaluation returns: -103.8013013039196
Evaluation returns: -110.14858216680071
Evaluation returns: -114.21818376701098
Evaluation returns: -118.57681162096533
Evaluation returns: -123.0758756058827
Evaluation returns: -121.99098503833049
Evaluation returns: -116.69838473323368
Evaluation returns: -114.4277669405158
Evaluation returns: -116.58426116798644
Evaluation returns: -113.09654114134632
Evaluation returns: -111.82321801712786
Evaluation returns: -109.83634356469433
Evaluation returns: -106.90691186841414
Evaluation returns: -101.5714587216501
Evaluation returns: -100.52000109772068
Evaluation returns: -103.71500351993575
Evaluation returns: -104.7362947117598
Evaluation returns: -106.42263074613409
Evaluation returns: -100.33734440137376
Evaluation returns: -99.18512585272416
Evaluation returns: -99.29039149428935
Evaluation returns: -98.03109222582468
Evaluation returns: -99.41737310686281
Evaluation returns: -99.56372193181346
Evaluation returns: -99.08502212728942
Evaluation returns: -94.74936425127365
Evaluation returns: -96.68049895851611
Evaluation returns: -96.54704227376385
Evaluation returns: -101.2201404720132
Evaluation returns: -102.81710712870593
Evaluation returns: -101.05321113891233
