Wed Jun 24 23:06:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:CF:00.0 Off |                    0 |
|  0%   35C    P0             16W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 9800, Returns: -20.270, Epsilon: 0.9806
Step: 9900, Returns: -20.250, Epsilon: 0.9804
Step: 10000, Returns: -20.250, Epsilon: 0.9802
Step: 10100, Returns: -20.250, Epsilon: 0.9800
Step: 10200, Returns: -20.250, Epsilon: 0.9798
Step: 10300, Returns: -20.260, Epsilon: 0.9796
Step: 10400, Returns: -20.250, Epsilon: 0.9794
Step: 10500, Returns: -20.250, Epsilon: 0.9792
Step: 10600, Returns: -20.220, Epsilon: 0.9790
Updating target network...
Step: 10700, Returns: -20.220, Epsilon: 0.9788
Step: 10800, Returns: -20.230, Epsilon: 0.9786
Step: 10900, Returns: -20.230, Epsilon: 0.9784
Step: 11000, Returns: -20.220, Epsilon: 0.9782
Step: 11100, Returns: -20.220, Epsilon: 0.9780
Step: 11200, Returns: -20.230, Epsilon: 0.9778
Step: 11300, Returns: -20.230, Epsilon: 0.9776
Step: 11400, Returns: -20.250, Epsilon: 0.9774
Step: 11500, Returns: -20.250, Epsilon: 0.9772
Step: 11600, Returns: -20.250, Epsilon: 0.9770
Step: 11700, Returns: -20.250, Epsilon: 0.9768
Step: 11800, Returns: -20.240, Epsilon: 0.9766
Step: 11900, Returns: -20.230, Epsilon: 0.9764
Step: 12000, Returns: -20.230, Epsilon: 0.9762
Step: 12100, Returns: -20.240, Epsilon: 0.9760
Step: 12200, Returns: -20.240, Epsilon: 0.9758
Step: 12300, Returns: -20.260, Epsilon: 0.9756
Step: 12400, Returns: -20.270, Epsilon: 0.9754
Step: 12500, Returns: -20.270, Epsilon: 0.9753
Step: 12600, Returns: -20.310, Epsilon: 0.9751
Step: 12700, Returns: -20.300, Epsilon: 0.9749
Step: 12800, Returns: -20.290, Epsilon: 0.9747
Step: 12900, Returns: -20.290, Epsilon: 0.9745
Step: 13000, Returns: -20.310, Epsilon: 0.9743
Step: 13100, Returns: -20.310, Epsilon: 0.9741
Updating target network...
Step: 13200, Returns: -20.310, Epsilon: 0.9739
Step: 13300, Returns: -20.300, Epsilon: 0.9737
Step: 13400, Returns: -20.300, Epsilon: 0.9735
Step: 13500, Returns: -20.300, Epsilon: 0.9733
Step: 13600, Returns: -20.280, Epsilon: 0.9731
Step: 13700, Returns: -20.300, Epsilon: 0.9729
Step: 13800, Returns: -20.300, Epsilon: 0.9727
